id,kind,stage,loss,learning_rate,seed,epochs,train_n,train_mae,train_mse,train_seen_n,train_seen_mae,train_unseen_n,train_unseen_mae,validation_n,validation_mae,validation_mse,validation_seen_n,validation_seen_mae,validation_unseen_n,validation_unseen_mae
dlinear-mae-0.0001-s43,dlinear,base,mae,0.0001,43,30,160,0.01545819524584505,0.0004517769495723245,160,0.01545819524584505,0,,135,0.020899170552359094,0.0007539514477566573,30,0.016524191901448784,105,0.02214916445261918
dlinear-mae-0.0001-s44,dlinear,base,mae,0.0001,44,30,160,0.017525470305983854,0.0006117627018947935,160,0.017525470305983854,0,,135,0.02729862276967008,0.0013557804147362957,30,0.021457807883722143,105,0.028967427022798063
dlinear-mae-0.001-s42,dlinear,base,mae,0.001,42,30,160,0.014846360243158793,0.00041242262707256544,160,0.014846360243158793,0,,135,0.017774787772517484,0.0005391573345344449,30,0.013971343127195916,105,0.01886148624260936
dlinear-mae-0.001-s43,dlinear,base,mae,0.001,43,30,160,0.0157351125257282,0.0004944798324535756,160,0.0157351125257282,0,,135,0.018486543618921877,0.0006009617009008054,30,0.01544975040737641,105,0.019354198822220583
dlinear-mae-0.001-s44,dlinear,base,mae,0.001,44,30,160,0.014469758338049792,0.0004522260564768354,160,0.014469758338049792,0,,135,0.016766149452806117,0.0005287478492647113,30,0.01392725721484813,105,0.017577261520794113
dlinear-huber-0.0001-s42,dlinear,base,huber,0.0001,42,30,160,0.017674224328207058,0.0005156961472425802,160,0.017674224328207058,0,,135,0.02885648052238239,0.0015590814466586612,30,0.02523740223575591,105,0.029890502889989963
dlinear-huber-0.0001-s43,dlinear,base,huber,0.0001,43,30,160,0.01623381377253362,0.0004713436470924243,160,0.01623381377253362,0,,135,0.025670991438797034,0.0009957969990968807,30,0.01584408803079914,105,0.02847867812679643
dlinear-huber-0.0001-s44,dlinear,base,huber,0.0001,44,30,160,0.020489637136718905,0.0006015958039323747,160,0.020489637136718905,0,,135,0.026684859697352643,0.0011447574096580557,30,0.01763589276966478,105,0.029270278819549175
dlinear-huber-0.001-s42,dlinear,base,huber,0.001,42,30,160,0.013672228389837,0.00038606722267319415,160,0.013672228389837,0,,135,0.016778649689446673,0.0005207406900766284,30,0.012027267475733239,105,0.01813618746479337
dlinear-huber-0.001-s43,dlinear,base,huber,0.001,43,30,160,0.013360357161155806,0.00039880425618939495,160,0.013360357161155806,0,,135,0.017076559023415473,0.0005479717998356647,30,0.012567279664440522,105,0.018364924554551174
dlinear-huber-0.001-s44,dlinear,base,huber,0.001,44,30,160,0.016627532772081267,0.000528753824982532,160,0.016627532772081267,0,,135,0.01914639678289565,0.00062843023452746,30,0.01766716194082546,105,0.019569035309201416
