id,kind,stage,loss,learning_rate,seed,epochs,alpha,train_n,train_mae,train_mse,train_rmse,train_bias,validation_n,validation_mae,validation_mse,validation_rmse,validation_bias
US-natural/lstm-mae-0.0001-s44,lstm,base,mae,0.0001,44,30,,245,0.017018438197110256,0.0006175330712173815,0.02485021269964065,0.006019316848342957,225,0.02251067960596397,0.0008936324265670338,0.02989368539620088,0.008050733107193245
US-natural/lstm-mae-0.001-s42,lstm,base,mae,0.001,42,30,,245,0.01665211777303191,0.0006449940836948158,0.025396733720988923,0.007167095530297515,225,0.019477128159005076,0.0007451381992627612,0.027297219625133276,0.008540706648956337
US-natural/lstm-mae-0.001-s43,lstm,base,mae,0.001,43,30,,245,0.01582441056410012,0.0006114228742604997,0.024726966539802244,0.0012785956937650794,225,0.018392733146368558,0.0006860693946872449,0.02619292642465223,-0.0002692200264692985
US-natural/lstm-mae-0.001-s44,lstm,base,mae,0.001,44,30,,245,0.01531804578280354,0.0006040561996930287,0.024577554794833204,0.0041246991898543535,225,0.015548424776449007,0.0004799730280205876,0.02190828674316154,0.00307840717951185
US-natural/lstm-huber-0.0001-s42,lstm,base,huber,0.0001,42,30,,245,0.017925631882839462,0.000685771374064471,0.02618723685432411,0.009000692355897186,225,0.027942404895964012,0.0013815870569177187,0.03716970617206596,0.018826253693498437
US-natural/lstm-huber-0.0001-s43,lstm,base,huber,0.0001,43,30,,245,0.015287048820619542,0.0005638733979125273,0.02374601856969979,0.0028042778894820535,225,0.025940607452470094,0.0010305872397344247,0.03210276062481893,-0.011265300415094761
US-natural/lstm-huber-0.0001-s44,lstm,base,huber,0.0001,44,30,,245,0.01987570161507014,0.0007197606851271339,0.026828355990017986,-0.012229026741011575,225,0.02373980972260715,0.0009782379727852715,0.03127679607608924,-0.01116674234681931
US-natural/lstm-huber-0.001-s42,lstm,base,huber,0.001,42,30,,245,0.018643996361726776,0.0007232696382319947,0.026893672828975864,0.01168724808512581,225,0.019827028931556988,0.00071251278744749,0.026692935159841266,0.011516170284347997
US-natural/lstm-huber-0.001-s43,lstm,base,huber,0.001,43,30,,245,0.01715854097325516,0.0006806632116125104,0.026089523023859796,0.0065735247584233015,225,0.0191448405459921,0.0006655610034841841,0.02579846901434626,0.0059829490196677704
US-natural/lstm-huber-0.001-s44,lstm,base,huber,0.001,44,30,,245,0.014554756714682603,0.00056826998998606,0.023838414166761596,0.0025791343899616943,225,0.015714219858603277,0.0004972183226716195,0.022298392827098987,0.00018904573175370555
US-natural/gru-mse-0.0001-s42,gru,base,mse,0.0001,42,30,,245,0.016344878232131186,0.000582646604513266,0.024138073753165682,0.001594143519495656,225,0.02657158823905353,0.0011890887988968964,0.034483166891932884,-0.012335018716390995
US-natural/gru-mse-0.0001-s43,gru,base,mse,0.0001,43,30,,245,0.017744371036110162,0.0006046753635477689,0.024590147692679053,-0.006134430038786222,225,0.03022216558392899,0.002056686998459624,0.04535071111305339,-0.02150419958975852
US-natural/gru-mse-0.0001-s44,gru,base,mse,0.0001,44,30,,245,0.019401619466765576,0.0006938987578830294,0.026341958125451294,0.006854681479587073,225,0.025658522492707506,0.0012369722433912189,0.03517061619294178,-0.006910509436133241
US-natural/gru-mse-0.001-s42,gru,base,mse,0.001,42,30,,245,0.0156804317862473,0.0005436009405837144,0.023315251244276018,0.005084686337584576,225,0.017570197439497327,0.0005560718725974994,0.02358117623439296,0.0008685872268649584
US-natural/gru-mse-0.001-s43,gru,base,mse,0.001,43,30,,245,0.042133329155006526,0.002574288093756026,0.05073744271990879,0.0317598642201051,225,0.048473842907752245,0.0032386815052565616,0.056909414908752676,0.03304247779766446
US-natural/gru-mse-0.001-s44,gru,base,mse,0.001,44,30,,245,0.013769512230873762,0.0004082456481238886,0.0202050896588926,0.000516412444160134,225,0.022390426127197625,0.0009282541227276735,0.030467263131559313,-0.00699790547503637
US-natural/gru-mae-0.0001-s42,gru,base,mae,0.0001,42,30,,245,0.025293280435020455,0.0010202478271990412,0.03194131849500019,0.021466262204205944,225,0.025253848807439947,0.001079915288629595,0.03286206458257903,0.007942518357962964
US-natural/gru-mae-0.0001-s43,gru,base,mae,0.0001,43,30,,245,0.015189388823307871,0.0005721667399889241,0.023920007106790837,-0.0011815470330358005,225,0.026377426037114952,0.0016258193726077512,0.04032145052707989,-0.014631184374759002
US-natural/gru-mae-0.0001-s44,gru,base,mae,0.0001,44,30,,245,0.016351627583686048,0.0006191860724258149,0.0248834497693912,0.00625463729356912,225,0.02389834931290056,0.0010874207191739211,0.03297606282099064,-0.007430883383223814
US-natural/gru-mae-0.001-s42,gru,base,mae,0.001,42,30,,245,0.02310381657099001,0.0009289341139332637,0.030478420463227154,-0.016143095714805853,225,0.023786608283913466,0.0008377359683613776,0.028943668882181774,-0.016876584061784283
US-natural/gru-mae-0.001-s43,gru,base,mae,0.001,43,30,,245,0.014990246820202974,0.000576129884902703,0.0240027057829467,0.0012970064281412083,225,0.015624240933810735,0.0004870520670924566,0.02206925615177042,-0.0002454988017374291
US-natural/gru-mae-0.001-s44,gru,base,mae,0.001,44,30,,245,0.014843427441580317,0.0005525794334839361,0.023507008178071834,0.00034366939495700076,225,0.016095308817978174,0.0005194189141345564,0.022790763790065404,-0.003934054972863265
US-natural/gru-huber-0.0001-s42,gru,base,huber,0.0001,42,30,,245,0.0149397142539461,0.0005702897906372144,0.0238807409984953,0.004649151123199369,225,0.02447931386411329,0.0010440990429838694,0.032312521458157197,-0.008099757203263773
US-natural/gru-huber-0.0001-s43,gru,base,huber,0.0001,43,30,,245,0.014793022170083625,0.0005460725023531356,0.023368194246734933,-0.0011692574219833063,225,0.02629881096922278,0.0016086967867159736,0.040108562511214155,-0.014675069436897241
US-natural/gru-huber-0.0001-s44,gru,base,huber,0.0001,44,30,,245,0.015384258902973864,0.0005888326208949104,0.02426587358606548,0.0033729157191361245,225,0.024725427500574947,0.0011762595762843722,0.03429664088922372,-0.011379132670299281
US-natural/gru-huber-0.001-s42,gru,base,huber,0.001,42,30,,245,0.016896829043005962,0.0006254229466117598,0.025008457501648516,-0.005900422842019234,225,0.01717341529776487,0.0005396738596623338,0.023230881594600187,-0.00789332880126377
US-natural/gru-huber-0.001-s43,gru,base,huber,0.001,43,30,,245,0.015529419829515306,0.0005938814204774281,0.024369682404114915,0.0068007522157471564,225,0.017221042766728686,0.000571374863396573,0.02390344877620326,0.0030233875392515785
US-natural/gru-huber-0.001-s44,gru,base,huber,0.001,44,30,,245,0.016373067465710663,0.0006221553808578643,0.024943042734555547,0.0085774653638107,225,0.017464528719925695,0.0005889481757943454,0.02426825448593997,0.003396491240657633
US-natural/dlinear-mse-0.0001-s42,dlinear,base,mse,0.0001,42,30,,245,0.018129525985223712,0.0006415939641176494,0.025329705172339637,-0.0030397358987801384,225,0.02404106510968604,0.001042174110615257,0.032282721549077256,-0.011800304653382368
US-natural/dlinear-mse-0.0001-s43,dlinear,base,mse,0.0001,43,30,,245,0.02196888590517049,0.000857014162958933,0.02927480423434003,-0.0006084684596774985,225,0.027901285755918673,0.001361538871998367,0.0368990361933529,-0.015124012432630923
US-natural/dlinear-mse-0.0001-s44,dlinear,base,mse,0.0001,44,30,,245,0.020018818255589935,0.0008003118535940337,0.028289783555093415,0.005515308973640037,225,0.032051820203656704,0.0018595181498443924,0.043122130627374994,0.0167737905163208
US-natural/dlinear-mse-0.001-s42,dlinear,base,mse,0.001,42,30,,245,0.01800391189734689,0.0005773795201301516,0.024028722815209125,0.011767805070192672,225,0.0198710392230764,0.0008542843417551392,0.029228142974796385,-0.0007583755607102328
US-natural/dlinear-mse-0.001-s43,dlinear,base,mse,0.001,43,30,,245,0.015708501316430444,0.0004943322594896624,0.022233584045080596,-0.0037364897765464165,225,0.02246535630807524,0.0009174974445434815,0.03029022027888674,-0.004885726738773519
US-natural/dlinear-mse-0.001-s44,dlinear,base,mse,0.001,44,30,,245,0.01710376920582215,0.0005507925081873853,0.023468969048242944,0.006387031092531051,225,0.021568559025306952,0.0009708592005409688,0.031158613585026033,0.0028076432706885188
US-natural/dlinear-mae-0.0001-s42,dlinear,base,mae,0.0001,42,30,,245,0.01638119575426116,0.0005941017982294654,0.024374203540412667,0.00466307096690227,225,0.022851632555553753,0.0009628664656926913,0.03103008968231789,-0.0077189833609290276
US-natural/dlinear-mae-0.0001-s43,dlinear,base,mae,0.0001,43,30,,245,0.017469004318597055,0.0006485750010047946,0.02546713570476261,-0.005750560312955523,225,0.024495101639982707,0.001057390149185063,0.03251753602573638,-0.008836153615318471
US-natural/dlinear-mae-0.0001-s44,dlinear,base,mae,0.0001,44,30,,245,0.017382317234819124,0.0006890447227180503,0.02624966138292169,-0.007394849061458253,225,0.0267283662540948,0.001622969826951451,0.04028609967409914,-0.0036660829704364814
US-natural/dlinear-mae-0.001-s42,dlinear,base,mae,0.001,42,30,,245,0.016106895257724876,0.0005978097947431549,0.02445014917629655,0.004955555277110804,225,0.01668816138192459,0.0006750172131554036,0.02598109337875147,-0.0007038935709026799
