namespace,concept,unit,period_kind,partition,raw_rows,invalid_rows,unique_keys,unique_admissible,duplicates,conflicting_rows,ambiguous_keys,publications,first_filed,last_filed,first_start,last_start,first_end,last_end,duration_min_days,duration_max_days,assets_with_raw_rows,assets_with_admissible_facts
us-gaap,DividendsCommonStockCash,EUR,flow_with_start,development_filed_through_2022,170,0,5,5,165,0,0,4,2017-08-04,2019-03-11,2015-01-01,2016-01-01,2015-12-31,2016-12-31,182,366,1,1
us-gaap,DividendsCommonStockCash,USD,flow_with_start,development_filed_through_2022,2597359,410,52397,52397,2544552,0,0,19667,2009-07-24,2022-12-29,1989-03-24,2022-09-02,2007-09-30,2022-12-01,2,9414,792,791
us-gaap,DividendsCommonStockCash,USD,flow_with_start,validation_filed_2023,352362,0,7207,7207,345155,0,0,2157,2023-01-05,2023-12-22,2007-12-01,2023-09-01,2020-03-29,2023-11-30,4,5510,586,586
us-gaap,DividendsCommonStockCash,USD,stock_without_start,development_filed_through_2022,33003,0,620,620,32383,0,0,256,2011-02-24,2022-11-14,,,2009-12-31,2022-09-13,,,42,42
us-gaap,DividendsCommonStockCash,USD,stock_without_start,validation_filed_2023,3316,0,61,61,3255,0,0,23,2023-02-21,2023-11-08,,,2019-12-11,2023-09-30,,,13,13
us-gaap,DividendsPayableAmountPerShare,GBP,stock_without_start,development_filed_through_2022,260,0,5,5,255,0,0,2,2017-05-04,2017-08-07,,,2016-10-18,2017-04-25,,,1,1
us-gaap,DividendsPayableAmountPerShare,GBP/shares,stock_without_start,development_filed_through_2022,260,0,5,5,255,0,0,2,2017-05-04,2017-08-07,,,2016-10-18,2017-04-25,,,1,1
us-gaap,DividendsPayableAmountPerShare,HKD/shares,stock_without_start,development_filed_through_2022,68,0,1,1,67,0,0,1,2022-04-15,2022-04-15,,,2021-12-31,2021-12-31,,,1,1
us-gaap,DividendsPayableAmountPerShare,HKD/shares,stock_without_start,validation_filed_2023,136,0,2,2,134,0,0,2,2023-03-22,2023-04-19,,,2021-12-31,2021-12-31,,,1,1
us-gaap,DividendsPayableAmountPerShare,USD/shares,stock_without_start,development_filed_through_2022,187626,977,3672,3672,182977,0,0,1849,2009-10-30,2022-12-20,,,2007-12-31,2022-11-18,,,263,260
us-gaap,DividendsPayableAmountPerShare,USD/shares,stock_without_start,validation_filed_2023,20161,50,371,371,19740,0,0,149,2023-01-05,2023-12-19,,,2017-11-01,2023-11-17,,,69,68
us-gaap,DividendsPayableAmountPerShare,pure,stock_without_start,development_filed_through_2022,532,53,11,11,468,0,0,3,2010-07-27,2010-10-26,,,2009-03-31,2010-09-30,,,3,2
us-gaap,DividendsPayableAmountPerShare,shares/USD,stock_without_start,development_filed_through_2022,46,0,1,1,45,0,0,1,2011-12-07,2011-12-07,,,2011-10-31,2011-10-31,,,1,1
us-gaap,InventoryNet,CAD,stock_without_start,development_filed_through_2022,2296,0,86,86,2210,0,0,43,2013-02-15,2022-11-09,,,2011-12-31,2022-09-30,,,2,2
us-gaap,InventoryNet,CAD,stock_without_start,validation_filed_2023,452,0,19,19,433,0,0,8,2023-02-09,2023-11-09,,,2021-12-31,2023-09-30,,,2,2
